,Cluster,Hippo,PI3KAKT
LMSU_STOMACH,Cluster IV,2719.866208,2497.256962
LN18_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2453.679826,2642.596526
LN229_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2651.355715,2596.619349
LXF289_LUNG,Cluster IV,3103.841181,2488.41279
MALME3M_SKIN,Cluster IV,2205.557503,2592.664839
MCAS_OVARY,Cluster IV,2859.920707,2442.898321
MDAMB157_BREAST,Cluster IV,2913.397514,2501.946653
MDAMB231_BREAST,Cluster IV,2807.555327,2508.945958
MDAMB435S_SKIN,Cluster IV,2114.257961,2208.097561
MDAMB436_BREAST,Cluster IV,2477.791237,2408.166115
MKN7_STOMACH,Cluster IV,2789.76359,2455.062383
ML1_THYROID,Cluster IV,2817.837743,2543.342464
MPP89_PLEURA,Cluster IV,2840.15829,2570.952044
MSTO211H_PLEURA,Cluster IV,2423.730677,2618.578806
NCIH1355_LUNG,Cluster IV,3083.125392,2285.605552
NCIH1563_LUNG,Cluster IV,2938.473783,2448.486701
NCIH1568_LUNG,Cluster IV,2758.17425,2475.579674
NCIH1650_LUNG,Cluster IV,2792.051732,2240.348796
NCIH1734_LUNG,Cluster IV,2528.590437,2604.30979
NCIH1755_LUNG,Cluster IV,2628.166434,2389.37468
NCIH1792_LUNG,Cluster IV,2629.857636,2452.922433
NCIH1793_LUNG,Cluster IV,2777.100957,2102.366825
NCIH2023_LUNG,Cluster IV,2700.870718,2248.805615
NCIH2030_LUNG,Cluster IV,2898.376341,2388.559696
NCIH2052_PLEURA,Cluster IV,2915.121412,2632.276663
NCIH2228_LUNG,Cluster IV,2514.834399,2388.760547
NCIH226_LUNG,Cluster IV,3022.2714,2468.535858
NCIH2347_LUNG,Cluster IV,2780.913236,2225.787462
NCIH2405_LUNG,Cluster IV,2619.320421,2594.153395
NCIH2452_PLEURA,Cluster IV,2444.251243,2340.72357
NCIH596_LUNG,Cluster IV,2936.242094,2620.932915
NCIH647_LUNG,Cluster IV,2519.444178,2364.85904
NCIH650_LUNG,Cluster IV,2507.53646,2505.477513
NCIH838_LUNG,Cluster IV,2372.699343,2057.225568
OELE_OVARY,Cluster IV,2555.741871,2721.564034
OV56_OVARY,Cluster IV,2871.263691,2484.625522
OV7_OVARY,Cluster IV,2660.887492,2625.737179
OVCAR8_OVARY,Cluster IV,2741.39428,2481.07895
PANC0213_PANCREAS,Cluster IV,2690.058424,2535.334077
PC14_LUNG,Cluster IV,2689.032274,2349.660107
PC3_PROSTATE,Cluster IV,2820.816266,2365.521532
PECAPJ49_UPPER_AERODIGESTIVE_TRACT,Cluster IV,2840.063758,2578.199605
PK45H_PANCREAS,Cluster IV,2703.821736,2402.651072
PK59_PANCREAS,Cluster IV,2843.19937,2472.585171
PSN1_PANCREAS,Cluster IV,2504.592946,2376.112151
RCC10RGB_KIDNEY,Cluster IV,2849.219469,2446.712131
RERFLCAI_LUNG,Cluster IV,2456.344856,2269.939117
RERFLCMS_LUNG,Cluster IV,2655.165097,2681.554927
RERFLCSQ1_LUNG,Cluster IV,2931.969858,2394.632939
RPMI7951_SKIN,Cluster IV,2391.757411,2497.439977
RVH421_SKIN,Cluster IV,2293.127131,2522.488882
SCC4_UPPER_AERODIGESTIVE_TRACT,Cluster IV,2866.23561,2541.636736
SF126_CENTRAL_NERVOUS_SYSTEM,Cluster IV,3031.080281,2629.334924
SF268_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2854.481722,2501.581608
SF295_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2525.26252,2498.678581
SF539_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2424.131683,2407.987264
SH4_SKIN,Cluster IV,2295.465094,2289.711202
SKHEP1_LIVER,Cluster IV,2715.777305,2508.260939
SKMEL24_SKIN,Cluster IV,2441.783899,2741.113206
SKMEL28_SKIN,Cluster IV,2389.861827,2299.137393
SKMEL30_SKIN,Cluster IV,2312.642093,2209.378421
SKMEL31_SKIN,Cluster IV,2248.025508,2656.605707
SKMEL5_SKIN,Cluster IV,2353.583757,2399.460865
SKMES1_LUNG,Cluster IV,2421.955971,2578.768526
SKRC20_KIDNEY,Cluster IV,2339.003524,2475.270455
SLR21_KIDNEY,Cluster IV,2661.98691,2659.713561
SLR26_KIDNEY,Cluster IV,2719.699815,2495.015665
SNB75_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2805.268892,2738.463877
SNU1077_ENDOMETRIUM,Cluster IV,2851.565038,2703.010116
SNU1105_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2772.995484,2716.887016
SNU1272_KIDNEY,Cluster IV,2739.755849,2509.215424
SNU182_LIVER,Cluster IV,3453.804754,2703.621246
SNU201_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2579.812535,2682.505641
SNU213_PANCREAS,Cluster IV,2702.566124,2528.714748
SNU349_KIDNEY,Cluster IV,3125.178431,2627.269437
SNU387_LIVER,Cluster IV,2487.988692,2599.821664
SNU410_PANCREAS,Cluster IV,2504.377036,2478.391095
SNU466_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2772.168698,2706.748629
SNU46_UPPER_AERODIGESTIVE_TRACT,Cluster IV,2672.954184,2650.364572
SNU475_LIVER,Cluster IV,2540.100694,2484.304322
SNU489_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2368.677139,2471.064797
SNU668_STOMACH,Cluster IV,2582.647939,2411.922279
SNU685_ENDOMETRIUM,Cluster IV,2801.059812,2470.927046
SNU840_OVARY,Cluster IV,2794.644214,2478.06981
SNU878_LIVER,Cluster IV,2349.91219,2399.012212
SNU886_LIVER,Cluster IV,2434.230978,2495.131991
SNU8_OVARY,Cluster IV,2889.881387,2381.126052
SU8686_PANCREAS,Cluster IV,2511.554905,2615.134712
SW1088_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2680.311923,2628.784073
SW1783_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2677.305743,2655.050239
SW579_THYROID,Cluster IV,2772.584267,2457.77428
T24_URINARY_TRACT,Cluster IV,2613.103723,2474.667792
T98G_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2571.546378,2538.518754
TCCSUP_URINARY_TRACT,Cluster IV,2620.538282,2631.459546
TE1_OESOPHAGUS,Cluster IV,3031.615192,2625.803344
TE8_OESOPHAGUS,Cluster IV,3101.495537,2833.627096
TOV21G_OVARY,Cluster IV,3065.933863,2755.971353
TUHR10TKB_KIDNEY,Cluster IV,2702.603864,2459.837312
TUHR14TKB_KIDNEY,Cluster IV,2801.60345,2443.247342
TUHR4TKB_KIDNEY,Cluster IV,2617.013272,2521.524127
U118MG_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2611.405517,2601.469043
U251MG_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2593.039,2621.853715
U87MG_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2413.477607,2503.837367
UACC62_SKIN,Cluster IV,2463.288916,2584.497031
WM115_SKIN,Cluster IV,2592.480992,2772.272582
WM1799_SKIN,Cluster IV,2255.404389,2656.814517
WM2664_SKIN,Cluster IV,2290.398258,2581.739543
WM793_SKIN,Cluster IV,2831.061267,2756.748762
WM88_SKIN,Cluster IV,2173.674267,2522.057826
WM983B_SKIN,Cluster IV,2397.73761,2436.763039
YD8_UPPER_AERODIGESTIVE_TRACT,Cluster IV,3070.628487,2773.835756
YH13_CENTRAL_NERVOUS_SYSTEM,Cluster IV,3059.1703,2821.852145
YKG1_CENTRAL_NERVOUS_SYSTEM,Cluster IV,2567.187808,2603.021468
