ID,Cluster,MT Score,YAP,PI3KAKT,TGFB,WNT,MAPK,FOXO,TNF,NOTCH,HIF1,CD8
TCGA.R5.A7ZF.01,Cluster II,2437.198496,2200.639767,2388.98635,1904.051506,1606.095829,1449.617301,2671.854299,2668.090721,2987.914225,3435.986681,-5038.110155
TCGA.R5.A7ZI.01,Cluster II,2279.793323,1511.888229,2429.991523,1165.686535,690.975389,1679.23001,2814.375624,3608.638885,2701.148787,3381.60995,902.1486368
TCGA.R5.A7ZR.01,Cluster II,1684.881543,1442.196284,2263.951265,1289.045223,620.0904477,1279.503932,2132.44672,2435.674106,2841.974135,3491.693862,-3846.056969
TCGA.RD.A7BT.01,Cluster II,1801.763748,1578.532483,2246.005742,1645.623796,1113.516454,1367.063494,2626.832499,2556.045517,2575.096354,3476.572152,-4327.879194
TCGA.RD.A8N6.01,Cluster II,2334.099629,1948.132198,2940.40988,2601.650785,1992.432068,1842.469293,3502.827352,2106.242787,3458.196977,3662.412756,-5377.869058
TCGA.SW.A7EA.01,Cluster II,2237.966353,2162.251345,2469.791227,2201.370893,1265.462681,1594.325461,2760.838507,3199.569424,3174.478128,3557.21704,-2236.794664
TCGA.SW.A7EB.01,Cluster II,2617.154999,1981.735916,2667.647384,2669.118319,1127.863892,1561.432152,3178.262999,2510.238474,3230.807589,3789.184058,-3213.021694
TCGA.VQ.A8DU.01,Cluster II,2764.050568,1953.297358,2727.999325,2410.023735,1615.601762,1503.798249,2634.849365,2638.551348,3098.041396,3254.750506,-3845.477448
TCGA.VQ.A8DV.01,Cluster II,2681.654699,1701.165247,2453.224611,1988.011671,1198.519361,1285.32417,2846.039398,1349.062675,2501.164399,3405.659871,-5026.949217
TCGA.VQ.A8E0.01,Cluster II,1931.580732,1557.471009,2594.866175,1709.310315,1062.179871,1767.888681,2716.761937,3254.663347,3149.352235,3731.833551,-6284.441711
TCGA.VQ.A8E3.01,Cluster II,2337.104027,1961.964419,2551.549015,1538.443226,1392.621032,1572.93021,2884.948855,3115.115865,3333.912303,3754.00927,-1382.781505
TCGA.VQ.A8P2.01,Cluster II,1936.271836,2011.322835,2423.351633,1803.831548,1321.60745,1444.171663,2943.16024,2012.889115,3046.37037,3691.847965,-5118.70184
TCGA.VQ.A8P3.01,Cluster II,2045.391174,1936.678891,2828.592721,2245.421053,1303.164633,2022.435083,2930.126579,2703.919694,2909.070158,3658.319269,-1942.232152
TCGA.VQ.A8P5.01,Cluster II,2640.185291,1851.522463,2594.809429,1871.850878,1555.591458,1739.778021,2516.39447,2922.057515,3286.431969,3553.354746,-4163.064072
TCGA.VQ.A8PE.01,Cluster II,2408.392516,1995.967739,2769.814226,2070.263774,1152.433587,1796.289046,2889.384061,3150.499362,3211.160615,4043.689756,-2998.246713
TCGA.VQ.A8PH.01,Cluster II,2339.422678,1847.931767,2438.628963,1993.029248,1242.797392,1499.709439,2522.760229,2422.098806,2922.592233,3240.35198,-1968.031986
TCGA.VQ.A8PO.01,Cluster II,2097.547814,1801.721132,2727.880844,1877.240282,1092.698725,1773.886894,3013.611769,3474.631555,3197.40904,4079.980887,-737.0181529
TCGA.VQ.A8PU.01,Cluster II,1832.806814,1765.235502,2524.524052,1573.375092,1006.717072,1722.635681,2795.156306,2949.857812,2972.457369,3672.879965,-6050.298678
TCGA.VQ.A91K.01,Cluster II,2044.177257,2005.131266,2882.623076,2271.532517,1397.383684,1975.39737,2909.736019,2760.764732,3441.017549,3833.800775,-3418.076319
TCGA.VQ.A91S.01,Cluster II,1918.930774,2183.97694,2712.492049,2058.789549,1526.586037,1879.623078,2947.894956,3122.585618,3220.534322,3783.179941,-26.64766844
TCGA.VQ.A91U.01,Cluster II,1695.474313,1751.059867,2607.468363,1742.474677,1216.175655,1687.728441,2675.895499,2935.905257,3504.289794,3561.338951,-1668.684944
TCGA.VQ.A91V.01,Cluster II,2051.554794,1636.22429,2473.704168,1744.486442,1133.561764,1628.921092,2859.582503,2519.946868,2965.121944,3392.89228,-5041.243016
TCGA.VQ.A91X.01,Cluster II,1277.557266,1640.611463,1899.363971,1474.673794,1015.874362,1269.099081,2403.248079,2340.694062,3022.844566,3289.862636,-5200.410072
TCGA.VQ.A91Z.01,Cluster II,2503.142904,2560.987055,2380.486039,2099.815016,2338.778603,1549.105372,2625.984151,2167.245094,3710.527174,3312.110341,-4689.664248
TCGA.VQ.A924.01,Cluster II,2657.902899,2280.203388,2700.46449,2317.049061,1608.593363,1815.837309,3057.400239,2999.502989,3528.376777,3958.56635,-1870.441342
TCGA.VQ.A925.01,Cluster II,2213.353701,1713.849455,2661.100537,1820.872177,1227.042612,1807.427147,3077.78181,2493.403266,2915.893774,3447.883247,-3819.418388
