Status,Location,Ch,,Chr,Rank,P1,P2,P3,P4,F1,F2,F3,F4,FC1,FC2,FC3,FC4
Del,10p15.3,Ch10,,Chr10p15.3,44,1.01E-18,0.686301577,1.28E-65,9.74E-11,0.124306326,0.202372881,0.362483311,0.159003159,0.569405689,1.019992498,2.162665343,0.728570193
Amp,10q22.2,Ch10,,Chr10q22.2,45,7.99E-12,8.50E-30,0.904839079,6.23E-08,0.057713651,0.154576271,0.100801068,0.076167076,0.511088004,2.013748923,0.986086124,0.669541809
Del,10q23.31 ,Ch10,,Chr10q23.31 ,46,7.20E-15,6.36E-14,1.16E-26,4.63E-21,0.214206437,0.341694915,0.405206943,0.222183222,0.695313333,1.292178373,1.519476059,0.693975582
Del,10q26.3,Ch10,,Chr10q26.3,47,2.23E-11,8.42E-12,3.71E-24,2.72E-20,0.203662597,0.313220339,0.373831776,0.202527203,0.72107034,1.280579697,1.521143109,0.683843877
Del,11p15.5,Ch11,,Chr11p15.5,48,1.63E-17,2.80E-18,1.41E-43,6.85E-36,0.167591565,0.303389831,0.387850467,0.161109161,0.631997752,1.390122256,1.780224276,0.566328603
Amp,11q13.3 ,Ch11,,Chr11q13.3 ,49,1.27E-28,1.55E-06,9.43E-67,1.15E-19,0.114317425,0.241016949,0.378504673,0.152685153,0.486966871,1.226832136,2.127968949,0.643047307
Del,11q22.3,Ch11,,Chr11q22.3,50,3.14E-33,4.03E-24,8.35E-31,8.49E-20,0.128745838,0.304067797,0.355140187,0.176904177,0.486010543,1.474536973,1.653043822,0.665653887
Del,11q25,Ch11,,Chr11q25,51,5.24E-38,5.66E-23,3.17E-49,2.19E-26,0.142064373,0.329830508,0.417890521,0.18954019,0.484639425,1.426250209,1.795582729,0.638612498
Del,12p13.1 ,Ch12,,Chr12p13.1 ,52,0.158536492,1.89E-11,0.000352149,0.009670937,0.119866815,0.165084746,0.100801068,0.116532117,0.901719739,1.452226183,0.740279148,0.852840431
Amp,12p13.33,Ch12,,Chr12p13.33,53,1.77E-21,4.04E-16,3.35E-37,2.03E-24,0.159267481,0.300677966,0.377837116,0.177606178,0.593249008,1.360462703,1.709488048,0.637953224
Amp,12q14.1 ,Ch12,,Chr12q14.1 ,54,1.17E-08,8.18E-13,0.001891427,1.05E-06,0.14872364,0.241016949,0.227636849,0.166725167,0.710698365,1.367170867,1.190005289,0.789418403
Amp,12q15 ,Ch12,,Chr12q15 ,55,1.48E-14,1.74E-14,4.45E-07,1.65E-07,0.140954495,0.255254237,0.257009346,0.174096174,0.629464474,1.382870753,1.29975252,0.781681816
Del,12q23.1,Ch12,,Chr12q23.1,56,1.33E-09,5.43E-19,0.516711792,1.35E-05,0.081576027,0.169491525,0.130173565,0.101790102,0.604325144,1.649055997,1.055975737,0.755567858
Del,12q24.33,Ch12,,Chr12q24.33,57,4.17E-09,1.33E-18,0.483021516,8.04E-06,0.096559378,0.187118644,0.146862483,0.115830116,0.6393773,1.589216219,1.057103916,0.765262393
Del,13q11,Ch13,,Chr13q11,58,1.50E-21,0.016722056,1.31E-67,5.59E-16,0.190344062,0.298644068,0.467957276,0.224640225,0.625085788,1.090476468,1.908231361,0.729351379
Del,13q14.2 ,Ch13,,Chr13q14.2 ,59,4.63E-08,0.023636878,5.12E-50,3.75E-21,0.276914539,0.348474576,0.498664887,0.261846262,0.801525345,1.075687836,1.667554686,0.719674203
Amp,13q34,Ch13,,Chr13q34,60,7.41E-23,1.95E-58,0.000173032,1.40E-27,0.101553829,0.278305085,0.218291055,0.116532117,0.500701548,2.032420387,1.241938853,0.5472019
Amp,14q13.2,Ch14,,Chr14q13.2,61,1.17E-29,0.075703304,8.20E-62,9.78E-08,0.06381798,0.16,0.29105474,0.12004212,0.37254384,1.101724524,2.381385443,0.733395162
